Año,Trimestre,Provincia,Banda ancha fija,Dial up
2014,3,La Rioja,16,23.0
2014,3,Mendoza,166,2.0
2014,3,Misiones,75,0.0
2014,3,Neuquén,100,2.0
2014,3,Río Negro,97,1.0
2014,3,Salta,93,25.0
2014,3,San Juan,51,748.0
2014,3,San Luis,13,363.0
2014,3,Santa Cruz,26,446.0
2014,3,Santa Fe,520,691.0
2014,3,Santiago Del Estero,38,9.0
2014,3,Tierra Del Fuego,28,755.0
2014,3,Tucumán,132,88.0
2014,2,Buenos Aires,3,14.0
2014,2,Capital Federal,1,11.0
2014,2,Catamarca,25,23.0
2014,2,Chaco,63,36.0
2014,2,Chubut,69,2.0
2014,2,Córdoba,577,205.0
2014,2,Corrientes,63,33.0
2014,2,Entre Ríos,135,115.0
2014,2,Formosa,26,65.0
2014,2,Jujuy,34,2.0
2014,2,La Pampa,55,580.0
2014,2,La Rioja,16,23.0
2014,2,Mendoza,165,2.0
2014,2,Misiones,75,0.0
2014,2,Neuquén,90,2.0
2014,2,Río Negro,95,1.0
2014,2,Salta,92,25.0
2014,2,San Juan,51,755.0
2014,2,San Luis,13,364.0
2014,2,Santa Cruz,27,459.0
2014,2,Santa Fe,512,605.0
2014,2,Santiago Del Estero,38,9.0
2014,2,Tierra Del Fuego,27,766.0
2014,2,Tucumán,132,88.0
2014,1,Buenos Aires,3,14.0
2014,1,Capital Federal,1,11.0
2014,1,Catamarca,24,23.0
2014,1,Chaco,63,36.0
2014,1,Chubut,68,2.0
2014,1,Córdoba,567,205.0
2014,1,Corrientes,62,33.0
2014,1,Entre Ríos,134,115.0
2014,1,Formosa,25,87.0
2014,1,Jujuy,34,2.0
2014,1,La Pampa,54,592.0
2014,1,La Rioja,16,23.0
2014,1,Mendoza,164,2.0
2014,1,Misiones,74,0.0
2014,1,Neuquén,88,2.0
2014,1,Río Negro,94,1.0
2014,1,Salta,91,25.0
2014,1,San Juan,51,755.0
2014,1,San Luis,12,364.0
2014,1,Santa Cruz,26,460.0
2014,1,Santa Fe,506,612.0
2014,1,Santiago Del Estero,37,9.0
2014,1,Tierra Del Fuego,27,766.0
2014,1,Tucumán,130,88.0
